date,trial_id,sample_id,start_time,disc1_pre,disc2_pre,pre_combustion,ignition_delay,flame_duration,post_combustion,flame_height,disc1_post,disc2_post,vol_burned,self_ignition,self_ig_start,notes,
5/24/23,22,DK20,13:11,139.9,148.8,yes,1,23,136,33,160,196.9,60,0,,,
5/25/23,38,DK21,14:01,143.6,144.9,yes,2,2,26,4,137.4,144.1,3,0,,,
5/24/23,23,DK22,13:21,150.3,145,yes,40,312,84,37,236.8,258.5,80,0,,,
5/24/23,24,DK23,13:37,140.5,140.3,yes,1,31,498,48,170,201.6,55,0,,,
5/24/23,25,DK24,13:53,146.7,141.8,yes,4,1,35,6,142.1,139,3,0,,,
5/24/23,26,DK25,14:00,142.2,144.3,no,23,317,300,29,244.7,255.6,90,0,,,
5/25/23,36,DK26,13:51,155,146.5,yes,2,30,238,29,203,207.8,55,0,,,
5/24/23,27,DK27,14:16,150,142.1,no,4,2,94,5,152,135.4,8,0,,,
5/24/23,28,DK28,14:26,145.4,142.1,yes,17,180,137,43,310.5,331.2,85,0,,,
5/24/23,33,DK29,16:02,140.3,139,yes,4,36,20,25,157.4,138.8,40,0,,,
5/24/23,29,DK30,14:39,146.2,143.5,no,2,9,89,18,151.3,146.5,10,0,,,
5/24/23,30,DK31,15:26,146.3,135.3,yes,55,10,600,7,128.4,137.8,5,0,,more than 600,
5/24/23,37,DK32,13:42,154.7,141.6,yes,3,32,105,24,153.6,162,20,0,,,
5/25/23,31,DK33,15:41,152.2,151.6,no,4,2,95,5,152.6,141.7,3,0,,,
5/24/23,32,DK34,15:49,144.3,143.2,yes,16,177,180,48,370.8,309.5,85,0,,,
5/24/23,34,DK35,16:10,145.3,135.1,yes,2,44,48,25,165.6,194,50,0,,,
5/24/23,35,DK36,16:17,147.3,154.4,yes,4,2,40,4,147.9,131.1,2,0,,,
5/27/23,39,DK37,11:58,147.2,137.8,yes,52,7,600,14,127,188,50,0,,more than 600,ignited during post combustion
5/27/23,43,DK38,15:12,138.2,150.4,yes,4,20,106,16,121,137.8,8,0,,,
5/27/23,40,DK39,12:15,145.7,148.5,yes,2,4,78,7,135.8,142.1,3,0,,,
5/28/23,49,DK40,11:42,146.5,141.7,yes,14,207,600,46,329.3,314,75,0,,more than 600,
5/28/23,50,DK41,12:02,146.4,143.5,yes,1,20,600,13,150.6,153.8,10,0,,more than 600,
5/27/23,41,DK42,12:22,141.9,143.2,no,1,1,58,5,131.8,143.9,3,0,,,
5/27/23,44,DK43,15:21,146.5,141.2,no,55,210,35,35,216,218.2,60,0,,,
5/27/23,42,DK44,12:28,142.1,146.1,yes,2,22,156,25,134.8,154.5,30,0,,,
5/28/23,51,DK45,12:14,150.4,143.7,no,2,2,81,4,147,135.5,3,0,,7 seconds delay in turning on the blow torch,
5/29/23,58,DK46,11:59,147.2,137.3,no,15,185,500,30,235.9,270.9,80,0,,,
5/27/23,45,DK47,15:33,154.8,138.8,yes,10,12,548,9,144.8,129.6,10,0,,,
5/27/23,48,DK48,16:11,153,148.4,no,12,2,106,12,136.5,125.2,3,0,,visible negative effect of wind speed,
5/27/23,46,DK49,15:47,150.4,138.5,yes,25,15,600,12,127.7,124.7,90,0,,more than 600,ignited during post combustion
5/27/23,47,DK50,16:03,148.9,141.1,yes,2,35,180,21,168.2,183.1,65,0,,,
5/29/23,59,DK51,12:16,147.7,134.5,yes,4,6,285,5,157,131.4,3,0,,,
5/29/23,61,DK52,12:33,154.1,137.5,yes,6,248,600,32,246.7,252.9,80,0,,more than 600,
5/29/23,62,DK53,12:52,153.7,134.6,yes,1,36,373,21,174.6,172.1,35,0,,,
5/29/23,60,DK54,12:25,151.6,145.1,yes,1,5,70,9,146.6,128.8,4,0,,,
5/28/23,54,JDK01,13:24,148,135.3,yes,35,25,273,10,134,116.8,3,0,,measure later post disc,
5/28/23,55,JDK02,13:41,151.3,142.5,yes,43,7,600,4,134,116.4,4,0,,more than 600,
5/28/23,56,JDK03,13:57,152.2,135.9,yes,28,200,600,21,148.3,226.2,25,0,,more than 600,
5/28/23,57,JDK04,14:16,153,134.9,no,14,356,350,25,195,197,15,0,,,
5/28/23,52,JDK05,12:44,142.9,141.2,yes,0,384,600,27,203.4,219,85,1,118,more than 600,
5/28/23,53,JDK06,13:08,139.8,142.3,yes,26,8,600,9,197,128.4,5,0,,more than 600,
5/29/23,63,JDK07,13:37,147.1,141.2,yes,10,30,600,13,137.3,128.3,3,0,,more than 600,
5/29/23,64,JDK08,13:51,144.3,144.8,yes,12,13,600,10,150.5,127.7,5,0,,more than 600,
5/29/23,65,JDK09,14:05,149.8,144.2,yes,30,65,600,28,151.9,172.9,10,0,,more than 600,
5/29/23,66,JDK10,14:22,152.3,147.7,yes,0,405,600,32,298.4,224.5,80,1,115,more than 600,self ignition time: 14:23:55
6/8/23,67,DK55,14:18,147,146.7,yes,22,320,600,31,234.5,238.3,85,0,,more than 600,
6/8/23,68,DK56,14:38,142.3,141.9,yes,2,12,31,10,135.6,131.8,5,0,,,
6/8/23,69,DK57,14:45,143.2,148.7,no,1,5,25,7,138.5,141.9,3,0,,,
6/8/23,70,DK58,14:51,133.6,144.6,yes,0,319,600,47,275.3,300,85,1,100,more than 600,
6/9/23,80,DK59,14:17,141.4,148.5,yes,1,40,215,24,173.5,173.2,40,0,,,
6/8/23,71,DK60,15:09,145.6,147.3,no,10,2,18,9,151.5,135.4,3,0,,,
6/8/23,72,DK61,15:16,146.5,144.3,yes,57,234,600,38,267,280,90,0,,more than 600,
6/8/23,73,DK62,15:44,146.9,145.8,no,1,9,40,13,149.2,137.9,7,0,,,
6/9/23,81,DK63,14:25,144.9,154.6,no,3,8,147,12,147.4,153.4,5,0,,,
6/9/23,91,DK64,17:25,152.9,145.4,yes,15,215,70,31,255.5,218.8,90,0,,,
6/8/23,74,DK65,15:48,144.4,143.2,yes,1,17,42,18,149.2,150,30,0,,,
6/8/23,77,DK66,16:40,150,152.4,no,3,5,137,12,149.9,143,7,0,,,
6/8/23,78,DK67,16:46,150.1,139.6,yes,37,10,600,11,144.8,120.8,3,0,,more than 600,
6/8/23,79,DK68,17:02,141.5,150.5,yes,2,30,98,18,161.9,165.4,20,0,,,
6/9/23,82,DK69,14:34,148.7,151,no,7,11,129,11,147.5,143.6,4,0,,,
6/9/23,92,DK70,17:35,147,150.1,yes,18,127,600,28,172,206.3,35,0,,more than 600,
6/9/23,93,DK71,17:51,143.9,143.8,yes,1,24,120,16,160.8,150.8,15,0,,,
6/9/23,94,DK72,17:58,147.5,141.6,no,2,26,117,12,162.5,150.9,,0,,,
6/8/23,75,JDK11,16:09,142.6,141.7,yes,63,269,373,23,183.4,245.4,75,0,,,
6/8/23,76,JDK12,16:25,147.4,143.9,yes,19,19,600,10,134.9,109.9,5,0,,more than 600,
6/9/23,86,JDK13,15:38,156.3,144.2,yes,38,261,340,37,390.3,284.3,85,0,,,
6/9/23,83,JDK14,14:39,150.5,146,yes,39,11,240,8,128.4,117.7,3,0,,,
6/9/23,84,JDK15,14:48,142.3,147.9,no,71,56,73,17,127.5,155.5,5,0,,,
6/9/23,85,JDK16,14:59,155.7,138.6,no,41,279,600,24,265.3,255.1,85,0,,more than 600,
6/9/23,87,JDK17,15:18,151.9,147.1,yes,47,356,600,30,224,292.7,90,0,,more than 600,
6/9/23,88,JDK18,16:37,153.6,146.8,no,25,119,600,23,238.9,277.7,40,0,,more than 600,
6/9/23,89,JDK19,16:56,153.2,144.4,yes,0,60,600,6,147,126.6,6,1,80,more than 600,
6/9/23,90,JDK20,17:11,153,143.9,yes,20,30,600,6,125.8,116.5,5,0,,more than 600,
